         1462369 function calls (1438706 primitive calls) in 1.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
21260/21232    0.006    0.000    0.013    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.013    0.013 describe.py:1(<module>)
      270    0.001    0.000    0.013    0.000 _decorators.py:363(decorator)
        1    0.000    0.000    0.013    0.013 _json.py:1(<module>)
       94    0.001    0.000    0.012    0.000 __init__.py:1447(_preprocess_data)
4578/4025    0.006    0.000    0.012    0.000 {built-in method __new__ of type object at 0x00007FFBE69598F0}
     1480    0.012    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
    89348    0.012    0.000    0.012    0.000 {method 'lstrip' of 'str' objects}
        9    0.000    0.000    0.012    0.001 __init__.py:73(import_module)
        9    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
22037/22034    0.010    0.000    0.012    0.000 {method 'join' of 'str' objects}
      984    0.001    0.000    0.012    0.000 artist.py:1536(is_alias)
        2    0.000    0.000    0.011    0.006 algorithms.py:1(<module>)
     1572    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.011    0.006 format.py:1(<module>)
        1    0.000    0.000    0.011    0.011 ewm.py:1(<module>)
      447    0.000    0.000    0.011    0.000 rcsetup.py:332(validate_color)
    64717    0.011    0.000    0.011    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.011    0.011 string_.py:1(<module>)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
       64    0.001    0.000    0.011    0.000 enum.py:528(__new__)
  209/192    0.000    0.000    0.010    0.000 typing.py:515(__getitem__)
      422    0.001    0.000    0.010    0.000 typing.py:1269(__init__)
     4409    0.005    0.000    0.010    0.000 artist.py:1549(aliased_name)
       88    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
      450    0.000    0.000    0.010    0.000 colors.py:224(is_color_like)
      100    0.001    0.000    0.010    0.000 pyplot.py:209(_add_pyplot_note)
        1    0.000    0.000    0.010    0.010 density.py:1(<module>)
      143    0.000    0.000    0.010    0.000 _decorators.py:484(__call__)
        2    0.000    0.000    0.010    0.005 parser.py:1(<module>)
      192    0.001    0.000    0.010    0.000 typing.py:694(Union)
      495    0.001    0.000    0.010    0.000 colors.py:278(to_rgba)
        1    0.000    0.000    0.010    0.010 image.py:1(<module>)
      417    0.008    0.000    0.010    0.000 _compiler.py:243(_optimize_charset)
       18    0.000    0.000    0.010    0.001 dataclasses.py:1264(wrap)
       18    0.001    0.000    0.010    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.010    0.010 quiver.py:1(<module>)
     1588    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
    57569    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.009    0.009 array_ops.py:1(<module>)
        1    0.000    0.000    0.009    0.009 feedparser.py:1(<module>)
        1    0.000    0.000    0.009    0.009 pythoncom.py:1(<module>)
      192    0.001    0.000    0.009    0.000 colors.py:325(_to_rgba_no_colorcycle)
      932    0.001    0.000    0.009    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.009    0.009 _parser.py:1(<module>)
        1    0.000    0.000    0.009    0.009 axis3d.py:1(<module>)
      737    0.009    0.000    0.009    0.000 {method '__exit__' of '_io._IOBase' objects}
